wavelength,E0
0.41,1613.99
0.411,1640.162
0.412,1699.491
0.413,1746.67
0.414,1765.219
0.415,1766.333
0.416,1770.851
0.417,1740.112
0.418,1728.056
0.419,1728.337
0.42,1754.463
0.421,1782.706
0.422,1743.294
0.423,1721.18
0.424,1740.795
0.425,1730.419
0.426,1713.49
0.427,1661.439
0.428,1623.743
0.429,1476.535
0.43,1330.878
0.431,1506.401
0.432,1633.051
0.433,1658.716
0.434,1658.684
0.435,1729.234
0.436,1797.088
0.437,1773.355
0.438,1723.029
0.439,1759.285
0.44,1839.161
0.441,1893.402
0.442,1934.472
0.443,1954.405
0.444,1950.661
0.445,1923.399
0.446,1931.267
0.447,1996.787
0.448,2021.454
0.449,2046.04
0.45,2110.12
0.451,2124.66
0.452,2046.096
0.453,1994.508
0.454,2042.452
0.455,2075.254
0.456,2115.097
0.457,2116.169
0.458,2068.903
0.459,2048.992
0.46,2072.642
0.461,2099.786
0.462,2116.227
0.463,2093.172
0.464,2044.421
0.465,2026.745
0.466,2015.234
0.467,2011.79
0.468,2032.341
0.469,2010.208
0.47,1986.179
0.471,2038.142
0.472,2081.218
0.473,2076.648
0.474,2093.667
0.475,2083.052
0.476,2068.903
0.477,2094.85
0.478,2106.961
0.479,2099.556
0.48,2091.681
0.481,2094.417
0.482,2077.717
0.483,2048.876
0.484,2006.254
0.485,1853.31
0.486,1750.194
0.487,1851.434
0.488,1928.051
0.489,1991.925
0.49,2020.452
0.491,1959.041
0.492,1935.685
0.493,1961.096
0.494,1992.955
0.495,2006.811
0.496,1988.994
0.497,1977.959
0.498,1944.409
0.499,1935.131
0.5,1903.472
0.501,1864.074
0.502,1895.896
0.503,1927.459
0.504,1922.713
0.505,1983.818
0.506,2012.692
0.507,1985.584
0.508,1953.249
0.509,1919.332
0.51,1900.274
0.511,1921.66
0.512,1904.507
0.513,1861.059
0.514,1839.121
0.515,1839.573
0.516,1736.154
0.517,1646.887
0.518,1686.348
0.519,1780.961
0.52,1826.279
0.521,1849.311
0.522,1831.022
0.523,1849.18
0.524,1889.551
0.525,1869.318
0.526,1754.779
0.527,1758.265
0.528,1849.968
0.529,1885.218
0.53,1903.4
0.531,1909.064
0.532,1887.895
0.533,1861.07
0.534,1864.832
0.535,1906.334
0.536,1883.234
0.537,1865.453
0.538,1875.633
0.539,1836.298
0.54,1797.174
0.541,1826.249
0.542,1851.238
0.543,1862.114
0.544,1877.909
0.545,1880.266
0.546,1878.697
0.547,1857.422
0.548,1860.127
0.549,1881.165
0.55,1871.452
0.551,1873.915
0.552,1871.374
0.553,1864.996
0.554,1878.429
0.555,1867.192
0.556,1830.46
0.557,1806.726
0.558,1780.607
0.559,1758.836
0.56,1791.624
0.561,1804.064
0.562,1788.351
0.563,1792.159
0.564,1794.936
0.565,1777.218
0.566,1776.967
0.567,1800.874
0.568,1791.427
0.569,1784.685
0.57,1765.881
0.571,1773.923
0.572,1828.198
0.573,1838.005
0.574,1822.657
0.575,1797.09
0.576,1798.787
0.577,1796.742
0.578,1776.616
0.579,1786.916
0.58,1800.079
0.581,1808.997
0.582,1823.144
0.583,1823.803
0.584,1809.668
0.585,1777.197
0.586,1770.779
0.587,1787.269
0.588,1724.911
0.589,1654.081
0.59,1721.252
0.591,1762.477
0.592,1766.947
0.593,1763.453
0.594,1766.857
0.595,1758.551
0.596,1767.808
0.597,1764.994
0.598,1748.293
0.599,1745.574
0.6,1733.442
0.601,1712.012
0.602,1715.783
0.603,1744.148
0.604,1750.164
0.605,1739.745
0.606,1730.769
0.607,1722.531
0.608,1704.72
0.609,1693.98
0.61,1691.739
0.611,1693.128
0.612,1683.771
0.613,1663.916
0.614,1656.952
0.615,1645.901
0.616,1613.624
0.617,1631.432
0.618,1657.998
0.619,1666.363
0.62,1679.433
0.621,1670.247
0.622,1655.964
0.623,1646.091
0.624,1630.383
0.625,1625.638
0.626,1649.472
0.627,1670.442
0.628,1670.59
0.629,1654.206
0.63,1640.691
0.631,1624.883
0.632,1631.369
0.633,1630.254
0.634,1628.599
0.635,1628.27
0.636,1625.343
0.637,1640.25
0.638,1639.547
0.639,1612.257
0.64,1595.312
0.641,1589.651
0.642,1598.723
0.643,1597.361
0.644,1595.069
0.645,1584.777
0.646,1584.302
0.647,1592.184
0.648,1583.101
0.649,1551.187
0.65,1587.966
0.651,1598.058
0.652,1578.353
0.653,1563.15
0.654,1537.063
0.655,1436.081
0.656,1331.769
0.657,1447.493
0.658,1519.058
0.659,1530.755
0.66,1542.35
0.661,1549.812
0.662,1544.892
0.663,1527.473
0.664,1528.22
0.665,1531.52
0.666,1523.149
0.667,1518.123
0.668,1523.844
0.669,1522.016
0.67,1514.447
0.671,1507.148
0.672,1500.561
0.673,1494.348
0.674,1489.102
0.675,1486.704
0.676,1485.881
0.677,1483.6
0.678,1480.066
0.679,1477.603
0.68,1475.996
0.681,1473.529
0.682,1468.934
0.683,1460.283
0.684,1450.374
0.685,1449.639
0.686,1457.701
0.687,1462.05
0.688,1464.71
0.689,1471.121
0.69,1472.902
0.691,1465.1
0.692,1458.832
0.693,1459.718
0.694,1452.205
0.695,1448.543
0.696,1451.243
0.697,1435.598
0.698,1444.225
0.699,1450.991
0.7,1433.61
0.701,1422.328
0.702,1425.451
0.703,1432.514
0.704,1440.894
0.705,1435.065
0.706,1421.681
0.707,1417.065
0.708,1405.075
0.709,1396.465
0.71,1396.095
0.711,1380.743
0.712,1374.138
0.713,1375.688
0.714,1372.011
0.715,1367.267
0.716,1370.852
0.717,1368.502
0.718,1353.005
0.719,1350.039
0.72,1352.415
0.721,1351.705
0.722,1350.645
0.723,1353.04
0.724,1349.511
0.725,1341.155
0.726,1340.355
0.727,1334.957
0.728,1315.295
0.729,1311.2
0.73,1325.449
0.731,1326.723
0.732,1323.965
0.733,1324.647
0.734,1323.108
0.735,1309.764
0.736,1304.241
0.737,1301.003
0.738,1276.327
0.739,1271.079
0.74,1266.785
0.741,1258.705
0.742,1272.429
0.743,1286.767
0.744,1281.873
0.745,1288.552
0.746,1286.438
0.747,1288.713
0.748,1281.405
0.749,1267.15
0.75,1262.903
0.751,1260.493
0.752,1263.852
0.753,1267.21
0.754,1271.005
0.755,1267.551
0.756,1269.307
0.757,1270.108
0.758,1259.182
0.759,1264.841
0.76,1255.85
0.761,1243.527
0.762,1243.52
0.763,1256.548
0.764,1253.737
0.765,1228.188
0.766,1209.414
0.767,1232.812
0.768,1234.747
0.769,1227.045
0.77,1225.392
0.771,1222.274
0.772,1218.359
0.773,1209.46
0.774,1197.845
0.775,1186.145
0.776,1174.499
0.777,1164.904
0.778,1164.156
0.779,1166.278
0.78,1161.857
0.781,1166.889
0.782,1163.181
0.783,1150.815
0.784,1151.786
0.785,1156.409
0.786,1156.401
0.787,1152.651
0.788,1152.382
0.789,1154.555
0.79,1151.604
0.791,1138.418
0.792,1124.992
0.793,1109.045
0.794,1112.476
0.795,1129.827
0.796,1135.068
0.797,1133.163
0.798,1130.329
0.799,1119.459
0.8,1118.208
0.801,1122.973
0.802,1119.691
0.803,1118.468
0.804,1112.255
0.805,1109.073
0.806,1112.369
0.807,1108.089
0.808,1102.532
0.809,1095.88
0.81,1102.986
0.811,1108.561
0.812,1112.087
0.813,1111.948
0.814,1105.539
0.815,1102.248
0.816,1098.278
0.817,1088.448
0.818,1073.712
0.819,1062.436
0.82,1063.547
0.821,1058.703
0.822,1069.759
0.823,1071.521
0.824,1068.487
0.825,1067.187
0.826,1070.083
0.827,1067.994
0.828,1062.235
0.829,1057.549
0.83,1051.071
0.831,1053.752
0.832,1037.679
0.833,1021.108
0.834,1025.27
0.835,1040.173
0.836,1042.917
0.837,1033.531
0.838,1023.831
0.839,1031.069
0.84,1039.143
0.841,1026.263
0.842,1010.972
0.843,997.666
0.844,1012.155
0.845,1026.43
0.846,1017.463
0.847,1002.181
0.848,993.112
0.849,942.513
0.85,950.77
0.851,968.147
0.852,961.435
0.853,881.359
0.854,821.762
0.855,931.702
0.856,970.491
0.857,969.599
0.858,973.03
0.859,974.438
0.86,976.198
0.861,982.212
0.862,1001.2
0.863,997.209
0.864,980.391
0.865,911.887
0.866,874.844
0.867,941.631
0.868,961.471
0.869,963.258
0.87,965.203
0.871,957.991
0.872,965.532
0.873,955.22
0.874,937.59
0.875,938.587
0.876,959.921
0.877,963.793
0.878,962.15
0.879,951.007
0.88,930.216
0.881,923.409
0.882,939.507
0.883,939.194
0.884,940.506
0.885,935.327
0.886,903.368
0.887,918.393
0.888,932.54
0.889,931.799
0.89,932.927
0.891,925.367
0.892,908.596
0.893,910.977
0.894,904.765
0.895,911.553
0.896,915.567
0.897,905.718
0.898,909.832
0.899,901.796
0.9,881.715
0.901,851.933
0.902,872.549
0.903,899.534
0.904,906.027
0.905,900.572
0.906,883.88
0.907,887.345
0.908,869.603
0.909,857.233
0.91,869.631
0.911,866.711
0.912,876.408
0.913,887.493
0.914,877.901
0.915,872.389
0.916,868.025
0.917,861.502
0.918,865.617
0.919,867.437
0.92,851.495
0.921,833.985
0.922,819.005
0.923,813.898
0.924,828.611
0.925,833.478
0.926,841.154
0.927,853.559
0.928,848.798
0.929,841.859
0.93,844.209
0.931,845.515
0.932,844.653
0.933,844.931
0.934,839.283
0.935,832.369
0.936,833.184
0.937,835.172
0.938,832.282
0.939,827.765
0.94,810.618
0.941,787.047
0.942,800.861
0.943,810.836
0.944,806.69
0.945,813.415
0.946,816.091
0.947,817.718
0.948,817.645
0.949,816.404
0.95,811.051
0.951,807.507
0.952,805.682
0.953,797.951
0.954,777.52
0.955,772.054
0.956,791.308
0.957,789.427
0.958,796.133
0.959,796.331
0.96,790.494
0.961,791.628
0.962,786.342
0.963,780.679
0.964,776.208
0.965,770.699
0.966,769.176
0.967,772.822
0.968,774.457
0.969,775.763
0.97,776.404
0.971,774.986
0.972,771.107
0.973,761.993
0.974,760.863
0.975,766.759
0.976,765.386
0.977,764.336
0.978,761.268
0.979,756.641
0.98,757.578
0.981,759.641
0.982,756.755
0.983,752.162
0.984,750.341
0.985,750.487
0.986,746.604
0.987,745.737
0.988,744.462
0.989,735.508
0.99,737.457
0.991,738.336
0.992,740.588
0.993,739.302
0.994,738.358
0.995,735.496
0.996,734.715
0.997,733.987
0.998,731.313
0.999,728.183
1,728.082
1.001,729.011
1.002,724.673
1.003,716.088
