wavelength,absorption
0.41,0.00E+00
0.411,0.00E+00
0.412,0.00E+00
0.413,0.00E+00
0.414,0.00E+00
0.415,0.00E+00
0.416,0.00E+00
0.417,0.00E+00
0.418,0.00E+00
0.419,0.00E+00
0.42,6.50E-06
0.421,2.17E-05
0.422,3.72E-05
0.423,5.15E-05
0.424,6.30E-05
0.425,6.98E-05
0.426,7.04E-05
0.427,6.35E-05
0.428,4.73E-05
0.429,1.98E-05
0.43,0.00E+00
0.431,0.00E+00
0.432,0.00E+00
0.433,0.00E+00
0.434,0.00E+00
0.435,0.00E+00
0.436,0.00E+00
0.437,0.00E+00
0.438,0.00E+00
0.439,0.00E+00
0.44,7.41E-05
0.441,2.68E-04
0.442,5.05E-04
0.443,7.77E-04
0.444,1.08E-03
0.445,1.40E-03
0.446,1.74E-03
0.447,2.10E-03
0.448,2.45E-03
0.449,2.81E-03
0.45,3.15E-03
0.451,3.49E-03
0.452,3.81E-03
0.453,4.13E-03
0.454,4.43E-03
0.455,4.73E-03
0.456,5.02E-03
0.457,5.30E-03
0.458,5.58E-03
0.459,5.85E-03
0.46,6.12E-03
0.461,6.39E-03
0.462,6.65E-03
0.463,6.92E-03
0.464,7.20E-03
0.465,7.49E-03
0.466,7.79E-03
0.467,8.11E-03
0.468,8.44E-03
0.469,8.80E-03
0.47,9.18E-03
0.471,9.58E-03
0.472,1.00E-02
0.473,1.05E-02
0.474,1.09E-02
0.475,1.14E-02
0.476,1.20E-02
0.477,1.25E-02
0.478,1.31E-02
0.479,1.37E-02
0.48,1.43E-02
0.481,1.49E-02
0.482,1.55E-02
0.483,1.62E-02
0.484,1.69E-02
0.485,1.76E-02
0.486,1.83E-02
0.487,1.90E-02
0.488,1.98E-02
0.489,2.06E-02
0.49,2.14E-02
0.491,2.22E-02
0.492,2.30E-02
0.493,2.38E-02
0.494,2.47E-02
0.495,2.56E-02
0.496,2.65E-02
0.497,2.75E-02
0.498,2.84E-02
0.499,2.94E-02
0.5,3.05E-02
0.501,3.15E-02
0.502,3.26E-02
0.503,3.36E-02
0.504,3.47E-02
0.505,3.57E-02
0.506,3.68E-02
0.507,3.77E-02
0.508,3.87E-02
0.509,3.95E-02
0.51,4.04E-02
0.511,4.11E-02
0.512,4.18E-02
0.513,4.25E-02
0.514,4.32E-02
