wavelength,absorption
0.41,0.00E+00
0.411,5.31E-07
0.412,2.52E-06
0.413,8.45E-06
0.414,8.65E-06
0.415,4.67E-05
0.416,7.41E-05
0.417,1.16E-04
0.418,5.97E-05
0.419,5.00E-05
0.42,3.15E-05
0.421,1.20E-05
0.422,4.78E-06
0.423,1.74E-06
0.424,2.71E-07
0.425,1.11E-05
0.426,3.25E-05
0.427,1.22E-05
0.428,1.73E-05
0.429,1.68E-05
0.43,7.84E-06
0.431,2.52E-06
0.432,8.23E-07
0.433,2.14E-07
0.434,0.00E+00
0.435,1.48E-08
0.436,1.41E-06
0.437,2.39E-09
0.438,2.30E-06
0.439,2.51E-05
0.44,4.32E-05
0.441,1.23E-04
0.442,3.32E-04
0.443,9.14E-04
0.444,3.67E-04
0.445,4.90E-04
0.446,4.73E-04
0.447,2.22E-04
0.448,1.33E-04
0.449,7.95E-05
0.45,2.05E-05
0.451,1.18E-05
0.452,4.35E-06
0.453,1.69E-05
0.454,7.36E-06
0.455,1.19E-05
0.456,1.60E-05
0.457,1.76E-05
0.458,1.00E-05
0.459,9.90E-06
0.46,6.33E-06
0.461,1.54E-06
0.462,5.45E-07
0.463,7.79E-07
0.464,1.46E-06
0.465,1.58E-06
0.466,1.89E-05
0.467,1.12E-04
0.468,1.07E-04
0.469,1.91E-04
0.47,3.71E-04
0.471,2.21E-04
0.472,1.60E-04
0.473,1.91E-04
0.474,9.46E-05
0.475,6.37E-05
0.476,2.96E-05
0.477,1.91E-05
0.478,6.52E-06
0.479,2.36E-06
0.48,5.41E-08
0.481,8.18E-08
0.482,2.57E-06
0.483,1.15E-05
0.484,5.62E-05
0.485,2.86E-04
0.486,1.96E-04
0.487,2.05E-04
0.488,1.99E-04
0.489,2.07E-04
0.49,1.27E-04
0.491,9.37E-05
0.492,6.01E-05
0.493,4.22E-05
0.494,1.56E-05
0.495,7.85E-06
0.496,4.89E-06
0.497,7.28E-06
0.498,3.11E-05
0.499,1.01E-04
0.5,2.04E-04
0.501,3.27E-04
0.502,9.39E-04
0.503,1.58E-03
0.504,5.50E-03
0.505,1.81E-03
0.506,2.39E-03
0.507,2.82E-03
0.508,2.12E-03
0.509,1.69E-03
0.51,1.25E-03
0.511,5.34E-04
0.512,3.24E-04
0.513,1.63E-04
0.514,6.76E-05
0.515,4.50E-05
0.516,2.80E-05
0.517,1.86E-05
0.518,1.60E-05
0.519,1.21E-05
0.52,8.17E-06
0.521,6.44E-06
0.522,1.30E-05
0.523,3.67E-05
0.524,2.77E-04
0.525,2.79E-04
0.526,5.20E-05
0.527,2.46E-04
0.528,9.42E-05
0.529,1.62E-04
0.53,1.50E-04
0.531,1.20E-04
0.532,7.01E-05
0.533,5.91E-05
0.534,3.22E-05
0.535,4.43E-05
0.536,6.21E-05
0.537,9.36E-05
0.538,1.69E-04
0.539,2.90E-04
0.54,6.37E-04
0.541,1.78E-03
0.542,1.90E-03
0.543,8.12E-04
0.544,1.60E-03
0.545,1.02E-03
0.546,1.91E-03
0.547,1.09E-03
0.548,6.40E-04
0.549,4.69E-04
0.55,4.66E-04
0.551,2.47E-04
0.552,1.23E-04
0.553,8.98E-05
0.554,4.00E-05
0.555,3.05E-05
0.556,1.29E-05
0.557,5.38E-06
0.558,1.80E-05
0.559,3.57E-05
0.56,5.87E-05
0.561,7.10E-05
0.562,6.91E-05
0.563,9.27E-05
0.564,7.46E-05
0.565,8.33E-05
0.566,1.27E-04
0.567,2.99E-04
0.568,1.47E-03
0.569,4.30E-03
0.57,3.05E-03
0.571,8.43E-04
0.572,2.57E-03
0.573,2.03E-03
0.574,1.95E-03
0.575,1.99E-03
0.576,1.52E-03
