SENSOR,BLUE,GREEN,RED,REDEDGE1,REDEDGE2,REDEDGE3,BROADNIR,NIR,SWIR0,SWIR1,SWIR2,VV,VH
NDVI,0,0,2,0,0,0,0,1,0,0,0,0,0
EVI,3,0,2,0,0,0,0,1,0,0,0,0,0
NBR,0,0,0,0,0,0,0,1,0,0,2,0,0
NDTI,0,0,0,0,0,0,0,0,0,1,2,0,0
ARVI,3,0,2,0,0,0,0,1,0,0,0,0,0
SAVI,3,0,2,0,0,0,0,1,0,0,0,0,0
SARVI,3,0,2,0,0,0,0,1,0,0,0,0,0
TC-BRIGHT,1,2,3,0,0,0,0,4,0,5,6,0,0
TC-GREEN,1,2,3,0,0,0,0,4,0,5,6,0,0
TC-WET,1,2,3,0,0,0,0,4,0,5,6,0,0
TC-DI,1,2,3,0,0,0,0,4,0,5,6,0,0
NDBI,0,0,0,0,0,0,0,2,0,1,0,0,0
NDWI,0,1,0,0,0,0,0,2,0,0,0,0,0
MNDWI,0,1,0,0,0,0,0,0,0,2,0,0,0
NDMI,0,0,0,0,0,0,0,1,0,2,0,0,0
NDSI,0,1,0,0,0,0,0,0,0,2,0,0,0
kNDVI,0,0,2,0,0,0,0,1,0,0,0,0,0
NDRE1,0,0,0,2,1,0,0,0,0,0,0,0,0
NDRE2,0,0,0,2,0,1,0,0,0,0,0,0,0
CIre,0,0,0,2,0,1,0,0,0,0,0,0,0
NDVIre1,0,0,0,2,0,0,1,0,0,0,0,0,0
NDVIre2,0,0,0,0,2,0,1,0,0,0,0,0,0
NDVIre3,0,0,0,0,0,2,1,0,0,0,0,0,0
NDVIre1n,0,0,0,2,0,0,0,1,0,0,0,0,0
NDVIre2n,0,0,0,0,2,0,0,1,0,0,0,0,0
NDVIre3n,0,0,0,0,0,2,0,1,0,0,0,0,0
MSRre,0,0,0,2,0,0,1,0,0,0,0,0,0
MSRren,0,0,0,2,0,0,0,1,0,0,0,0,0
CCI,0,1,2,0,0,0,0,0,0,0,0,0,0
EVI2,0,0,2,0,0,0,0,1,0,0,0,0,0
ContRemSWIR,0,0,0,0,0,0,0,2,0,1,3,0,0
