wavelength,water_01,water_02,water_03,water_04,water_05,water_06,water_07,water_08,water_09,water_10,water_11,water_12,water_13,water_14,water_15,water_16,water_17,water_18,water_19,water_20,water_21,water_22,water_23,water_24,water_25,water_26
0.41,0.0071,0.01645,0.015,0.0092,0.0123,0.0138,0.02761,0.015,0.0118,0.02248,0.03829,0.02094,0.01587,0.0212,0.02773,0.04705,0.02006,0.01497,0.03704,0.06155,0.0218,0.01466,0.02579,0.01244,0.0079,0.03897
0.411,0.0071,0.01653,0.01508,0.0092,0.0123,0.01386,0.02771,0.0151,0.01186,0.0226,0.03849,0.02108,0.01598,0.02132,0.02793,0.04738,0.02025,0.0151,0.03742,0.06215,0.02203,0.01481,0.02599,0.01253,0.00795,0.03827
0.412,0.0071,0.01662,0.01516,0.00927,0.0124,0.01392,0.02781,0.01522,0.01191,0.02273,0.03871,0.02124,0.01609,0.02144,0.02814,0.04772,0.02045,0.01522,0.03783,0.06277,0.02228,0.01494,0.02619,0.01262,0.008,0.0376
0.413,0.0071,0.0167,0.01523,0.0093,0.01241,0.014,0.0279,0.01533,0.012,0.02283,0.0389,0.02139,0.01621,0.02156,0.02835,0.04803,0.02064,0.01534,0.03822,0.06337,0.02252,0.01507,0.02639,0.01271,0.008,0.03675
0.414,0.0071,0.01679,0.01531,0.0093,0.0125,0.01407,0.02797,0.01544,0.01206,0.02294,0.03909,0.02155,0.01632,0.02167,0.02853,0.04835,0.02083,0.01546,0.03863,0.06398,0.02275,0.01522,0.02661,0.0128,0.008,0.03591
0.415,0.00714,0.01687,0.0154,0.00937,0.01251,0.01412,0.02807,0.01555,0.01212,0.02306,0.03931,0.02171,0.01643,0.0218,0.02874,0.04868,0.02101,0.01559,0.03905,0.0646,0.023,0.01535,0.02681,0.01289,0.008,0.03531
0.416,0.0072,0.01696,0.01549,0.0094,0.0126,0.0142,0.02817,0.01566,0.0122,0.02319,0.03952,0.02186,0.01655,0.02193,0.02895,0.04902,0.02121,0.01573,0.03946,0.06523,0.02325,0.01549,0.02701,0.01298,0.00802,0.03471
0.417,0.0072,0.01704,0.01557,0.0094,0.01262,0.01429,0.02826,0.01578,0.01227,0.0233,0.03972,0.02204,0.01666,0.02205,0.02915,0.04935,0.02141,0.01585,0.03988,0.06586,0.0235,0.01564,0.02723,0.01308,0.0081,0.03413
0.418,0.0072,0.01712,0.01564,0.00948,0.0127,0.01434,0.02833,0.0159,0.01233,0.02342,0.0399,0.02218,0.01677,0.02217,0.02935,0.04968,0.02161,0.01598,0.04031,0.0665,0.02377,0.01579,0.02745,0.01317,0.0081,0.03357
0.419,0.0072,0.01721,0.01573,0.0095,0.01273,0.0144,0.02843,0.01602,0.0124,0.02354,0.04011,0.02235,0.01689,0.0223,0.02957,0.05002,0.02183,0.01613,0.04073,0.06714,0.02402,0.01594,0.02765,0.01327,0.0081,0.03288
0.42,0.0072,0.0173,0.01582,0.0095,0.0128,0.0145,0.02853,0.01614,0.01249,0.02366,0.04031,0.02252,0.01702,0.02243,0.02977,0.05035,0.02203,0.01625,0.04115,0.06777,0.0243,0.01609,0.02787,0.01338,0.0081,0.03201
0.421,0.0072,0.0174,0.0159,0.00959,0.01284,0.01456,0.0286,0.01626,0.01255,0.02377,0.0405,0.02267,0.01713,0.02255,0.02997,0.05065,0.02223,0.01639,0.04158,0.0684,0.02455,0.01625,0.02809,0.01347,0.00811,0.03135
0.422,0.0072,0.01747,0.016,0.0096,0.0129,0.01462,0.02868,0.01637,0.01262,0.02387,0.04069,0.02285,0.01725,0.02266,0.03017,0.05098,0.02244,0.01654,0.04201,0.06907,0.02483,0.0164,0.0283,0.01358,0.0082,0.03085
0.423,0.0072,0.01756,0.01608,0.00962,0.01295,0.0147,0.02878,0.0165,0.0127,0.024,0.04089,0.02302,0.01737,0.0228,0.03039,0.05132,0.02266,0.01667,0.04244,0.06973,0.0251,0.01656,0.02852,0.01368,0.0082,0.03037
0.424,0.0072,0.01765,0.01617,0.0097,0.013,0.01479,0.02885,0.01663,0.01279,0.02411,0.04108,0.02316,0.0175,0.02293,0.03058,0.05163,0.02287,0.01683,0.04289,0.07038,0.02538,0.01673,0.02874,0.01378,0.0082,0.02977
0.425,0.0072,0.01773,0.01625,0.0097,0.01306,0.01484,0.02892,0.01675,0.01285,0.02422,0.04125,0.02334,0.01763,0.02305,0.03078,0.05195,0.02308,0.01696,0.04333,0.07103,0.02566,0.01688,0.02897,0.01389,0.0082,0.02918
0.426,0.00724,0.01782,0.01634,0.00975,0.0131,0.01491,0.02901,0.01687,0.01293,0.02434,0.04147,0.0235,0.01775,0.02317,0.03099,0.05228,0.0233,0.01711,0.04378,0.07172,0.02594,0.01705,0.02919,0.014,0.00823,0.02873
0.427,0.0073,0.0179,0.01643,0.0098,0.01318,0.015,0.0291,0.01701,0.013,0.02444,0.04165,0.02366,0.01787,0.02329,0.03119,0.05259,0.02352,0.01725,0.04423,0.0724,0.02623,0.01724,0.02941,0.01409,0.0083,0.02831
0.428,0.0073,0.018,0.01652,0.0098,0.0132,0.01506,0.02915,0.01714,0.01309,0.02455,0.04183,0.02384,0.018,0.02343,0.03139,0.05292,0.02374,0.01741,0.04468,0.07307,0.02652,0.0174,0.02964,0.01421,0.0083,0.02778
0.429,0.0073,0.01809,0.01661,0.00988,0.01328,0.01514,0.02924,0.01726,0.01317,0.02466,0.04203,0.02402,0.01813,0.02355,0.03161,0.05325,0.02397,0.01755,0.04514,0.07375,0.02681,0.01756,0.02988,0.01433,0.0083,0.02724
0.43,0.0073,0.01818,0.01671,0.0099,0.01331,0.01521,0.02933,0.01739,0.01325,0.02478,0.04223,0.02418,0.01826,0.02368,0.03181,0.05358,0.0242,0.01771,0.0456,0.07444,0.0271,0.01775,0.0301,0.01444,0.0083,0.02686
0.431,0.0073,0.01828,0.01681,0.00993,0.0134,0.0153,0.02942,0.01754,0.01333,0.0249,0.04243,0.02436,0.01839,0.02383,0.03203,0.05392,0.02442,0.01786,0.04607,0.07513,0.0274,0.01792,0.03033,0.01455,0.00838,0.02647
