wavelength,ULTRABLUE,BLUE,GREEN,RED,NIR,CIRRUS,SWIR1,SWIR2
0.41,0.00E+00,0,0,0,0,0,0,0
0.411,0.00E+00,0,0,0,0,0,0,0
0.412,0.00E+00,0,0,0,0,0,0,0
0.413,0.00E+00,0,0,0,0,0,0,0
0.414,0.00E+00,0,0,0,0,0,0,0
0.415,0.00E+00,0,0,0,0,0,0,0
0.416,0.00E+00,0,0,0,0,0,0,0
0.417,0.00E+00,0,0,0,0,0,0,0
0.418,0.00E+00,0,0,0,0,0,0,0
0.419,0.00E+00,0,0,0,0,0,0,0
0.42,0.00E+00,0,0,0,0,0,0,0
0.421,0.00E+00,0,0,0,0,0,0,0
0.422,0.00E+00,0,0,0,0,0,0,0
0.423,0.00E+00,0,0,0,0,0,0,0
0.424,0.00E+00,0,0,0,0,0,0,0
0.425,0.00E+00,0,0,0,0,0,0,0
0.426,0.00E+00,0,0,0,0,0,0,0
0.427,3.10E-04,0,0,0,0,0,0,0
0.428,1.05E-03,0,0,0,0,0,0,0
0.429,2.43E-03,0,0,0,0,0,0,0
0.43,5.49E-03,0,0,0,0,0,0,0
0.431,1.56E-02,0,0,0,0,0,0,0
0.432,5.22E-02,0,0,0,0,0,0,0
0.433,1.62E-01,0,0,0,0,0,0,0
0.434,3.73E-01,0,0,0,0,0,0,0
0.435,6.29E-01,0,0,0,0,0,0,0
0.436,8.30E-01,0.00002,0,0,0,0,0,0
0.437,9.31E-01,0.0001,0,0,0,0,0,0
0.438,9.67E-01,0.00017,0,0,0,0,0,0
0.439,9.80E-01,0.00029,0,0,0,0,0,0
0.44,9.86E-01,0.00039,0,0,0,0,0,0
0.441,9.88E-01,0.00059,0,0,0,0,0,0
0.442,9.90E-01,0.00096,0,0,0,0,0,0
0.443,9.93E-01,0.00159,0,0,0,0,0,0
0.444,9.96E-01,0.00281,0,0,0,0,0,0
0.445,9.99E-01,0.00513,0,0,0,0,0,0
0.446,9.91E-01,0.00972,0,0,0,0,0,0
0.447,9.78E-01,0.0195,0,0,0,0,0,0
0.448,9.43E-01,0.04132,0,0,0,0,0,0
0.449,8.34E-01,0.09112,0,0,0,0,0,0
0.45,6.22E-01,0.1941,0,0,0,0,0,0
0.451,3.61E-01,0.37135,0,0,0,0,0,0
0.452,1.66E-01,0.59723,0,0,0,0,0,0
0.453,6.76E-02,0.78406,0,0,0,0,0,0
0.454,2.67E-02,0.87404,0,0,0,0,0,0
0.455,1.06E-02,0.89819,0,0,0,0,0,0
0.456,4.29E-03,0.90658,0,0,0,0,0,0
0.457,1.77E-03,0.91045,0,0,0,0,0,0
0.458,6.50E-04,0.9052,0,0,0,0,0,0
0.459,3.00E-05,0.8988,0,0,0,0,0,0
0.46,0.00E+00,0.89424,0,0,0,0,0,0
0.461,0.00E+00,0.88692,0,0,0,0,0,0
0.462,0.00E+00,0.8808,0,0,0,0,0,0
0.463,0.00E+00,0.87906,0,0,0,0,0,0
0.464,0.00E+00,0.87819,0,0,0,0,0,0
0.465,0.00E+00,0.87695,0,0,0,0,0,0
0.466,0.00E+00,0.88279,0,0,0,0,0,0
0.467,0.00E+00,0.88897,0,0,0,0,0,0
0.468,0.00E+00,0.89,0,0,0,0,0,0
0.469,0.00E+00,0.87575,0,0,0,0,0,0
0.47,0.00E+00,0.85548,0,0,0,0,0,0
0.471,0.00E+00,0.84507,0,0,0,0,0,0
0.472,0.00E+00,0.8352,0,0,0,0,0,0
0.473,0.00E+00,0.83547,0,0,0,0,0,0
0.474,0.00E+00,0.85395,0,0,0,0,0,0
0.475,0.00E+00,0.86705,0,0,0,0,0,0
0.476,0.00E+00,0.87829,0,0,0,0,0,0
0.477,0.00E+00,0.90029,0,0,0,0,0,0
0.478,0.00E+00,0.91156,0,0,0,0,0,0
0.479,0.00E+00,0.91418,0,0,0,0,0,0
0.48,0.00E+00,0.92463,0,0,0,0,0,0
0.481,0.00E+00,0.93177,0,0,0,0,0,0
0.482,0.00E+00,0.94191,0,0,0,0,0,0
0.483,0.00E+00,0.95483,0,0,0,0,0,0
0.484,0.00E+00,0.95863,0,0,0,0,0,0
0.485,0.00E+00,0.9597,0,0,0,0,0,0
0.486,0.00E+00,0.95505,0,0,0,0,0,0
0.487,0.00E+00,0.9647,0,0,0,0,0,0
0.488,0.00E+00,0.9833,0,0,0,0,0,0
0.489,0.00E+00,0.98755,0,0,0,0,0,0
0.49,0.00E+00,0.98735,0,0,0,0,0,0
0.491,0.00E+00,0.98622,0,0,0,0,0,0
0.492,0.00E+00,0.9762,0,0,0,0,0,0
0.493,0.00E+00,0.96815,0,0,0,0,0,0
0.494,0.00E+00,0.9716,0,0,0,0,0,0
0.495,0.00E+00,0.98219,0,0,0,0,0,0
0.496,0.00E+00,0.98517,0,0,0,0,0,0
0.497,0.00E+00,0.97476,0,0,0,0,0,0
0.498,0.00E+00,0.96169,0,0,0,0,0,0
0.499,0.00E+00,0.95898,0,0,0,0,0,0
0.5,0.00E+00,0.965,0,0,0,0,0,0
0.501,0.00E+00,0.96641,0,0,0,0,0,0
0.502,0.00E+00,0.97355,0,0,0,0,0,0
0.503,0.00E+00,0.98205,0,0,0,0,0,0
0.504,0.00E+00,0.97483,0,0,0,0,0,0
0.505,0.00E+00,0.96454,0,0,0,0,0,0
0.506,0.00E+00,0.96723,0,0,0,0,0,0
0.507,0.00E+00,0.98318,0,0,0,0,0,0
0.508,0.00E+00,0.99805,0,0,0,0,0,0
0.509,0.00E+00,0.98002,0,0,0,0,0,0
0.51,0.00E+00,0.90578,0,0,0,0,0,0
0.511,0.00E+00,0.70526,0,0,0,0,0,0
0.512,0.00E+00,0.37986,0,0,0,0,0,0
0.513,0.00E+00,0.12666,0.00006,0,0,0,0,0
0.514,0.00E+00,0.03283,0.00017,0,0,0,0,0
0.515,0.00E+00,0.01004,0.0003,0,0,0,0,0
0.516,0.00E+00,0.00411,0.00049,0,0,0,0,0
0.517,0.00E+00,0.00215,0.00077,0,0,0,0,0
0.518,0.00E+00,0.00135,0.00112,0,0,0,0,0
0.519,0.00E+00,0.00095,0.00155,0,0,0,0,0
0.52,0.00E+00,0.00067,0.00213,0,0,0,0,0
0.521,0.00E+00,0.00043,0.00295,0,0,0,0,0
0.522,0.00E+00,0.00025,0.00408,0,0,0,0,0
0.523,0.00E+00,0.00012,0.00585,0,0,0,0,0
0.524,0.00E+00,0.0001,0.00856,0,0,0,0,0
0.525,0.00E+00,0.00003,0.01305,0,0,0,0,0
0.526,0.00E+00,0,0.02042,0,0,0,0,0
0.527,0.00E+00,0,0.0327,0,0,0,0,0
0.528,0.00E+00,0,0.05455,0,0,0,0,0
0.529,0.00E+00,0,0.09436,0,0,0,0,0
0.53,0.00E+00,0,0.16315,0,0,0,0,0
0.531,0.00E+00,0,0.27567,0,0,0,0,0
0.532,0.00E+00,0,0.4403,0,0,0,0,0
