wavelength,BLUE,GREEN,RED,NIR,SWIR1,SWIR2
0.41,0,0,0,0,0,0
0.411,0,0,0,0,0,0
0.412,0,0,0,0,0,0
0.413,0,0,0,0,0,0
0.414,0,0,0,0,0,0
0.415,0,0,0,0,0,0
0.416,0,0,0,0,0,0
0.417,0,0,0,0,0,0
0.418,0,0,0,0,0,0
0.419,0,0,0,0,0,0
0.42,0,0,0,0,0,0
0.421,0,0,0,0,0,0
0.422,0,0,0,0,0,0
0.423,0,0,0,0,0,0
0.424,0,0,0,0,0,0
0.425,0,0,0,0,0,0
0.426,0,0,0,0,0,0
0.427,0,0,0,0,0,0
0.428,0,0,0,0,0,0
0.429,0,0,0,0,0,0
0.43,0,0,0,0,0,0
0.431,0,0,0,0,0,0
0.432,0,0,0,0,0,0
0.433,0,0,0,0,0,0
0.434,7.20E-03,0,0,0,0,0
0.435,2.10E-02,0,0,0,0,0
0.436,3.65E-02,0,0,0,0,0
0.437,6.87E-02,0,0,0,0,0
0.438,1.27E-01,0,0,0,0,0
0.439,2.21E-01,0,0,0,0,0
0.44,3.64E-01,0,0,0,0,0
0.441,5.25E-01,0,0,0,0,0
0.442,6.60E-01,0,0,0,0,0
0.443,7.46E-01,0,0,0,0,0
0.444,7.79E-01,0,0,0,0,0
0.445,8.05E-01,0,0,0,0,0
0.446,8.37E-01,0,0,0,0,0
0.447,8.57E-01,0,0,0,0,0
0.448,8.59E-01,0,0,0,0,0
0.449,8.52E-01,0,0,0,0,0
0.45,8.42E-01,0,0,0,0,0
0.451,8.29E-01,0,0,0,0,0
0.452,8.06E-01,0,0,0,0,0
0.453,8.03E-01,0,0,0,0,0
0.454,7.93E-01,0,0,0,0,0
0.455,7.88E-01,0,0,0,0,0
0.456,8.06E-01,0,0,0,0,0
0.457,8.43E-01,0,0,0,0,0
0.458,8.81E-01,0,0,0,0,0
0.459,8.94E-01,0,0,0,0,0
0.46,9.09E-01,0,0,0,0,0
0.461,9.08E-01,0,0,0,0,0
0.462,8.99E-01,0,0,0,0,0
0.463,8.96E-01,0,0,0,0,0
0.464,8.89E-01,0,0,0,0,0
0.465,8.78E-01,0,0,0,0,0
0.466,8.62E-01,0,0,0,0,0
0.467,8.52E-01,0,0,0,0,0
0.468,8.53E-01,0,0,0,0,0
0.469,8.70E-01,0,0,0,0,0
0.47,8.78E-01,0,0,0,0,0
0.471,8.84E-01,0,0,0,0,0
0.472,8.93E-01,0,0,0,0,0
0.473,8.89E-01,0,0,0,0,0
0.474,8.81E-01,0,0,0,0,0
0.475,8.94E-01,0,0,0,0,0
0.476,9.16E-01,0,0,0,0,0
0.477,9.30E-01,0,0,0,0,0
0.478,9.42E-01,0,0,0,0,0
0.479,9.56E-01,0,0,0,0,0
0.48,9.54E-01,0,0,0,0,0
0.481,9.50E-01,0,0,0,0,0
0.482,9.54E-01,0,0,0,0,0
0.483,9.67E-01,0,0,0,0,0
0.484,9.80E-01,0,0,0,0,0
0.485,9.78E-01,0,0,0,0,0
0.486,9.74E-01,0,0,0,0,0
0.487,9.75E-01,0,0,0,0,0
0.488,9.68E-01,0,0,0,0,0
0.489,9.61E-01,0,0,0,0,0
0.49,9.61E-01,0,0,0,0,0
0.491,9.55E-01,0,0,0,0,0
0.492,9.61E-01,0,0,0,0,0
0.493,9.73E-01,0,0,0,0,0
0.494,9.83E-01,0,0,0,0,0
0.495,9.91E-01,0,0,0,0,0
0.496,9.86E-01,0,0,0,0,0
0.497,9.90E-01,0,0,0,0,0
0.498,9.97E-01,0,0,0,0,0
0.499,9.96E-01,0,0,0,0,0
0.5,9.90E-01,0.00074,0,0,0,0
0.501,9.84E-01,0.00095,0,0,0,0
0.502,9.79E-01,0.00145,0,0,0,0
0.503,9.80E-01,0.002,0,0,0,0
